Entity,Code,Day,daily_vaccinations
American Samoa,ASM,2021/2/19,177
American Samoa,ASM,2021/2/20,337
American Samoa,ASM,2021/2/21,485
American Samoa,ASM,2021/2/22,439
American Samoa,ASM,2021/2/23,387
American Samoa,ASM,2021/2/24,496
American Samoa,ASM,2021/2/25,496
American Samoa,ASM,2021/2/26,581
American Samoa,ASM,2021/2/27,371
American Samoa,ASM,2021/2/28,223
American Samoa,ASM,2021/3/1,217
American Samoa,ASM,2021/3/2,323
American Samoa,ASM,2021/3/3,191
American Samoa,ASM,2021/3/4,269
American Samoa,ASM,2021/3/5,184
American Samoa,ASM,2021/3/6,184
American Samoa,ASM,2021/3/7,184
American Samoa,ASM,2021/3/8,184
American Samoa,ASM,2021/3/9,78
American Samoa,ASM,2021/3/10,374
American Samoa,ASM,2021/3/11,296
American Samoa,ASM,2021/3/12,296
American Samoa,ASM,2021/3/13,296
American Samoa,ASM,2021/3/14,296
American Samoa,ASM,2021/3/15,382
American Samoa,ASM,2021/3/16,382
American Samoa,ASM,2021/3/17,86
American Samoa,ASM,2021/3/18,86
American Samoa,ASM,2021/3/19,86
American Samoa,ASM,2021/3/20,86
American Samoa,ASM,2021/3/21,86
American Samoa,ASM,2021/3/22,388
American Samoa,ASM,2021/3/23,423
American Samoa,ASM,2021/3/24,505
American Samoa,ASM,2021/3/25,509
American Samoa,ASM,2021/3/26,600
American Samoa,ASM,2021/3/27,604
American Samoa,ASM,2021/3/28,604
American Samoa,ASM,2021/3/29,216
American Samoa,ASM,2021/3/30,259
American Samoa,ASM,2021/3/31,476
American Samoa,ASM,2021/4/1,472
American Samoa,ASM,2021/4/2,465
American Samoa,ASM,2021/4/3,462
American Samoa,ASM,2021/4/4,464
American Samoa,ASM,2021/4/5,464
American Samoa,ASM,2021/4/6,385
American Samoa,ASM,2021/4/7,241
American Samoa,ASM,2021/4/8,248
American Samoa,ASM,2021/4/9,255
American Samoa,ASM,2021/4/10,255
American Samoa,ASM,2021/4/11,341
American Samoa,ASM,2021/4/12,341
American Samoa,ASM,2021/4/13,341
American Samoa,ASM,2021/4/14,276
American Samoa,ASM,2021/4/15,269
American Samoa,ASM,2021/4/16,347
American Samoa,ASM,2021/4/17,347
American Samoa,ASM,2021/4/18,258
American Samoa,ASM,2021/4/19,258
American Samoa,ASM,2021/4/20,258
American Samoa,ASM,2021/4/21,187
American Samoa,ASM,2021/4/22,187
American Samoa,ASM,2021/4/23,180
American Samoa,ASM,2021/4/24,180
American Samoa,ASM,2021/4/25,231
American Samoa,ASM,2021/4/26,231
American Samoa,ASM,2021/4/27,262
American Samoa,ASM,2021/4/28,245
American Samoa,ASM,2021/4/29,321
American Samoa,ASM,2021/4/30,216
American Samoa,ASM,2021/5/1,216
American Samoa,ASM,2021/5/2,165
American Samoa,ASM,2021/5/3,165
American Samoa,ASM,2021/5/4,188
American Samoa,ASM,2021/5/5,209
American Samoa,ASM,2021/5/6,133
American Samoa,ASM,2021/5/7,132
American Samoa,ASM,2021/5/8,132
American Samoa,ASM,2021/5/9,132
American Samoa,ASM,2021/5/10,132
American Samoa,ASM,2021/5/11,77
American Samoa,ASM,2021/5/12,57
American Samoa,ASM,2021/5/13,118
American Samoa,ASM,2021/5/14,61
American Samoa,ASM,2021/5/15,123
American Samoa,ASM,2021/5/16,123
American Samoa,ASM,2021/5/17,123
American Samoa,ASM,2021/5/18,123
American Samoa,ASM,2021/5/19,256
American Samoa,ASM,2021/5/20,196
American Samoa,ASM,2021/5/21,259
American Samoa,ASM,2021/5/22,197
American Samoa,ASM,2021/5/23,197
American Samoa,ASM,2021/5/24,197
American Samoa,ASM,2021/5/25,197
American Samoa,ASM,2021/5/26,64
Arizona,,2021/1/13,13390
Arizona,,2021/1/14,16155
Arizona,,2021/1/15,18577
Arizona,,2021/1/16,18257
Arizona,,2021/1/17,18065
Arizona,,2021/1/18,17937
Arizona,,2021/1/19,17846
Arizona,,2021/1/20,18163
Arizona,,2021/1/21,18605
Arizona,,2021/1/22,18895
Arizona,,2021/1/23,20939
Arizona,,2021/1/24,22706
Arizona,,2021/1/25,23526
Arizona,,2021/1/26,23517
Arizona,,2021/1/27,25196
Arizona,,2021/1/28,26179
Arizona,,2021/1/29,27393
Arizona,,2021/1/30,28059
Arizona,,2021/1/31,29069
Arizona,,2021/2/1,29564
Arizona,,2021/2/2,28681
Arizona,,2021/2/3,28255
Arizona,,2021/2/4,28424
Arizona,,2021/2/5,28337
Arizona,,2021/2/6,29917
Arizona,,2021/2/7,30732
Arizona,,2021/2/8,31487
Arizona,,2021/2/9,33164
Arizona,,2021/2/10,34531
Arizona,,2021/2/11,36494
Arizona,,2021/2/12,38691
Arizona,,2021/2/13,39176
Arizona,,2021/2/14,39989
Arizona,,2021/2/15,40122
Arizona,,2021/2/16,41539
Arizona,,2021/2/17,38163
Arizona,,2021/2/18,37314
Arizona,,2021/2/19,55158
Arizona,,2021/2/20,54896
Arizona,,2021/2/21,54360
Arizona,,2021/2/22,54958
Arizona,,2021/2/23,53030
Arizona,,2021/2/24,55863
Arizona,,2021/2/25,57825
Arizona,,2021/2/26,42127
Arizona,,2021/2/27,43278
Arizona,,2021/2/28,46110
Arizona,,2021/3/1,48955
Arizona,,2021/3/2,51993
Arizona,,2021/3/3,53580
Arizona,,2021/3/4,53198
Arizona,,2021/3/5,52476
Arizona,,2021/3/6,45071
Arizona,,2021/3/7,52879
Arizona,,2021/3/8,52280
Arizona,,2021/3/9,50873
Arizona,,2021/3/10,51794
Arizona,,2021/3/11,52921
Arizona,,2021/3/12,54235
Arizona,,2021/3/13,62981
Arizona,,2021/3/14,56433
Arizona,,2021/3/15,55772
Arizona,,2021/3/16,58490
Arizona,,2021/3/17,57709
Arizona,,2021/3/18,57866
Arizona,,2021/3/19,48949
Arizona,,2021/3/20,48762
Arizona,,2021/3/21,47913
Arizona,,2021/3/22,48184
Arizona,,2021/3/23,45042
Arizona,,2021/3/24,44646
Arizona,,2021/3/25,50166
Arizona,,2021/3/26,58308
Arizona,,2021/3/27,59086
Arizona,,2021/3/28,59378
Arizona,,2021/3/29,60022
Arizona,,2021/3/30,61260
Arizona,,2021/3/31,63074
Arizona,,2021/4/1,57997
Arizona,,2021/4/2,58912
Arizona,,2021/4/3,59149
Arizona,,2021/4/4,58794
Arizona,,2021/4/5,58482
Arizona,,2021/4/6,58525
Arizona,,2021/4/7,57644
Arizona,,2021/4/8,55514
Arizona,,2021/4/9,56308
Arizona,,2021/4/10,57204
Arizona,,2021/4/11,57826
Arizona,,2021/4/12,56643
Arizona,,2021/4/13,56417
Arizona,,2021/4/14,56531
Arizona,,2021/4/15,57918
Arizona,,2021/4/16,55841
Arizona,,2021/4/17,55226
Arizona,,2021/4/18,54391
Arizona,,2021/4/19,54470
Arizona,,2021/4/20,53921
Arizona,,2021/4/21,54448
Arizona,,2021/4/22,54571
Arizona,,2021/4/23,54802
Arizona,,2021/4/24,53506
Arizona,,2021/4/25,52397
Arizona,,2021/4/26,51720
Arizona,,2021/4/27,51362
Arizona,,2021/4/28,49861
Arizona,,2021/4/29,47964
Arizona,,2021/4/30,45756
Arizona,,2021/5/1,44097
Arizona,,2021/5/2,41448
Arizona,,2021/5/3,37787
Arizona,,2021/5/4,36127
Arizona,,2021/5/5,33654
Arizona,,2021/5/6,33626
Arizona,,2021/5/7,32954
Arizona,,2021/5/8,30521
Arizona,,2021/5/9,29993
Arizona,,2021/5/10,33564
Arizona,,2021/5/11,36667
Arizona,,2021/5/12,36376
